ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001567619-19-001269	101	PAG Special Situations III Feeder Fund L.P.	/s/ DEREK CRANE	DEREK CRANE	AUTHORIZED SIGNATORY	2019-01-15
0000919574-19-000437	101	Two Sigma Absolute Return Enhanced Fund, LP	/s/ Matthew B. Siano, Esq.	Matthew B. Siano, Esq.	Managing Director, General Counsel	2019-01-17
0001548250-19-000001	101	Barnegat Investments Ltd	Brian J. Davis	Brian J. Davis	Authorized Signatory	2019-01-17
0001315863-19-000064	101	Glen Point Global Macro Fund Ltd	/s/Nick Gaze	Nick Gaze	Director	2019-01-17
0000919574-19-000435	101	Hamilton Investments, LP	/s/ Matthew B. Siano, Esq.	Matthew B. Siano, Esq.	Managing Director, General Counsel	2019-01-17
0001315863-19-000063	101	Glen Point Global Macro Fund LP	/s/Nick Gaze	Nick Gaze	Director of the General Partner	2019-01-17
0001013594-19-000055	101	Harspring Environmental, LP	/s/ Harry M. Gail	Harry M. Gail	Manager of the General Partner of the Issuer	2019-01-17
0001315863-19-000062	101	Glen Point Emerging Markets Fixed Income Fund LP	/s/Nick Gaze	Nick Gaze	Director	2019-01-17
0000943663-19-000015	101	Tikehau Real Estate Opportunity 2018 SCSp	/s/ Frederic Jariel	Frederic Jariel	Director	2019-01-17
0001315863-19-000061	101	Glen Point Emerging Markets Fixed Income Fund Ltd	/s/Nick Gaze	Nick Gaze	Director	2019-01-17
0001765121-19-000001	101	Basira US Index Fund, LP	/Nafis Upshur/	Nafis Upshur	Managing Member of the General Partner	2019-01-17
0001379740-19-000005	101	GT Insurance, LP	Simone T. Meeks	Simone T. Meeks	CCO and CFO of the General Partner of the Issuer	2019-01-17
0001053415-19-000001	101	UROMEDICA INC	Timothy C. Cook	Timothy C. Cook	CEO/President	2019-01-15
0001765001-19-000001	101	2019-A, L.P.	Stephen C. Larkin	Stephen C. Larkin	Member, Managing General Partner	2019-01-17
0001765004-19-000001	101	PeopleSpace, Inc.	Jesse Bagley	Jesse Bagley	President	2019-01-17
0001727929-19-000001	101	SBB Research Group Polysight Thor LLC	/s/ Matthew Aven	Matthew Aven	CCO and COO of the Manager of the Issuer	2019-01-17
0001764921-19-000001	101	HSREP VI HOLDING REIT, LLC	/s/ Stephen M. Gordon	Stephen M. Gordon	Manager	2019-01-17
0001764902-19-000001	101	BRECKENRIDGE GROUP SYRACUSE NEW YORK, LLC	/s/Carolyn Perry	Carolyn Perry	Attorney-in-Fact	2019-01-17
0000950172-19-000021	101	Deloitte LLP	/s/ Scott Feinblum	Scott Feinblum	Authorized Person for Issuer	2019-01-17
0000950172-19-000020	101	Deloitte Tax LLP	/s/ Scott Feinblum	Scott Feinblum	Authorized Person for Issuer	2019-01-17
0000950172-19-000019	101	Deloitte Financial Advisory Services LLP	/s/ Scott Feinblum	Scott Feinblum	Authorized Person for Issuer	2019-01-17
0001764933-19-000001	101	North Value Partners, LP	/s/Adam Wright	Adam Wright	Manager of General Partner	2019-01-17
0000950172-19-000018	101	DELOITTE CONSULTING LLP	/s/ Scott Feinblum	Scott Feinblum	Authorized Person for Issuer	2019-01-17
0000950172-19-000017	101	DELOITTE & TOUCHE LLP	/s/ Scott Feinblum	Scott Feinblum	Authorized Person for Issuer	2019-01-17
0001762738-19-000001	101	Noteworthy Media Network, LLC	/s/ Kristin Kachoyeanos-Tews	Kristin Kachoyeanos-Tews	Manager	2019-01-09
0001765158-19-000002	101	Performa (US) High Yield Fund, a series of Performa (US) Series Fund, LP	Kathy M. Nicholl	Kathy M. Nicholl	Chief Compliance Officer of the Investment Manager	2019-01-17
0001379740-19-000004	101	GT International Equity QP Fund, LP	Simone T. Meeks	Simone T. Meeks	CCO and CFO of the General Partner of the Issuer	2019-01-17
0000899140-19-000030	101	AqGen Island Holdings, Inc.	Richard Rosenbaum	Richard Rosenbaum	Director, Co-President and Treasurer	2019-01-17
0000899140-19-000029	101	AqGen Island Holdings, Inc.	Richard Rosenbaum	Richard Rosenbaum	Director, Co-President and Treasurer	2019-01-17
0001719612-19-000002	101	Vector Fund LP	Clifford Starr	Clifford Starr	President of General Partner	2019-01-17
0001765180-19-000001	101	Praetorian Capital Fund LLC	Wesley N. Cooper	Wesley N. Cooper	CFO of the Issuer's Manager	2019-01-15
0001685428-19-000001	101	LumiraDx Ltd	/s/Dorian LeBlanc	Dorian LeBlanc	CFO	2019-01-14
0001764936-19-000001	101	Sherpa Software, LLC	/s/ Kevin Ogrodnik	Kevin Ogrodnik	President	2019-01-16
0001765158-19-000001	101	Performa (US) Equity Fund, a series of Performa (US) Series Fund, LP	Kathy M. Nicholl	Kathy M. Nicholl	Chief Compliance Officer of the Investment Manager	2019-01-17
0000919574-19-000431	101	Manikay Merger Fund, LP	/s/ Sean McDuffy	Sean McDuffy	Authorized Signatory of the General Partner	2019-01-17
0001379740-19-000003	101	GT International Equity Fund, LP	Simone T. Meeks	Simone T. Meeks	CCO and CFO of the General Partner of the Issuer	2019-01-17
0001595456-19-000002	101	Briarwood Capital Partners LP	Mario Sgarlata	Mario Sgarlata	CFO and CCO of the issuer's Investment Adviser	2019-01-17
0001762142-19-000009	101	Hedge Fund Select: Anchor Bolt Fund LLC	/s/ David Kraut	David Kraut	Managing Director of the Issuer's Managing Member	2019-01-17
0000919574-19-000429	101	Lakewood Discovery Fund, LP	/s/ Anthony T. Bozza	Anthony T. Bozza	Managing Member of the General Partner	2019-01-17
0001673359-19-000001	101	Fort Nelson Partners, LP	Todd P. Lowe	Todd P. Lowe	General Partner	2019-01-17
0001764532-19-000001	101	TFSN Global Ltd.	Olivier DuPont	Olivier DuPont	Authorized person	2019-01-17
0000919574-19-000423	101	Lakewood Capital Partners, LP	/s/ Anthony T. Bozza	Anthony T. Bozza	Managing Member of the Managing Member of the GP	2019-01-17
0001379740-19-000002	101	GT U.S. QP Fund, LP	Simone T. Meeks	Simone T. Meeks	CCO and CFO of the General Partner of the Issuer	2019-01-17
0001315863-19-000060	101	Apollo Atlas Fund, LLC	/s/Joseph D. Glatt	Joseph D. Glatt	Vice President of the General Partner of the Special Member	2019-01-17
0001315863-19-000059	101	Apollo Atlas Master Fund, LLC	/s/Joseph D. Glatt	Joseph D. Glatt	Vice President of the General Partner of the Special Member	2019-01-17
0000919574-19-000421	101	Lakewood Capital Offshore Fund, Ltd.	/s/ Anthony T. Bozza	Anthony T. Bozza	Director	2019-01-17
0001415889-19-000063	101	Wrap Technologies, Inc.	/s/ James A. Barnes	James A. Barnes	Chief Financial Officer	2019-01-17
0001638982-19-000002	101	Sitka Salmon LLC	Nicolaas J. Mink	Nicolaas J. Mink	Manager & President	2019-01-14
0001379740-19-000001	101	GT U.S. Fund, LP	Simone T. Meeks	Simone T. Meeks	CCO and CFO of the General Partner of the Issuer	2019-01-17
0001606077-19-000001	101	Windgap Medical, Inc.	/s/ Christopher Stepanian	Christopher Stepanian	President and Chief Executive Officer	2019-01-16
0001745305-19-000001	101	442 Funding, LLC	Elliot Goldberg	Elliot Goldberg	President	2019-01-17
0001735211-19-000001	101	1931 Funding, LLC	Elliot Goldberg	Elliot Goldberg	President	2019-01-17
0000902664-19-000267	101	Shellback Offshore Fund, Ltd.	/s/ Bradford E. Ali	Bradford E. Ali	Director	2019-01-17
0000902664-19-000266	101	Shellback Fund, LP	/s/ Bradford E. Ali	Bradford E. Ali	COO & GC of Shellback Capital, LP the Investment Manager	2019-01-17
0000902664-19-000265	101	Bluegrass Equity Fund, LP	/s/ Joseph Cornell	Joseph Cornell	Managing Member of the General Partner	2019-01-17
0001763567-19-000002	101	MM Hotel Times Square LLC	/s/ Joseph E. Teichman	Joseph E. Teichman	Executive Vice President and General Counsel of LG	2019-01-16
0001765076-19-000001	101	Monomoy Point BT Alpha, L.P.	Robert Potvin Jr.	Robert Potvin Jr.	Manager of Issuer's General Partner and Investment Manager	2019-01-16
0001542037-19-000001	101	Northwest Warrant Fund Ltd	E Ho	Ernest Ho	CFO of Inv Mgr	2019-01-16
0001542040-19-000001	101	Northwest China Opportunities Fund Ltd	E Ho	Ernest Ho	CFO of Inv Mgr	2019-01-16
0001542038-19-000001	101	Northwest Fund Ltd	E Ho	Ernest Ho	CFO of Inv Mgmr	2019-01-16
0001763555-19-000001	101	Wall Street Tower Fund LLC	/s/ Joseph E. Teichman	Joseph E. Teichman	Executive Vice President and General Counsel of LG	2019-01-16
0001643825-19-000001	101	MeasureOne, Inc.	Dan Feshbach	Dan Feshbach	Chief Executive Officer	2019-01-16
0001683168-19-000143	101	VEB, Inc.	/S/ ANDREW DAVIDGE	ANDREW DAVIDGE	DIRECTOR	2019-01-16
0001763565-19-000001	101	Lightstone 28 Fund LLC	/s/ Joseph E. Teichman	Joseph E. Teichman	Executive Vice President and General Counsel of LG	2019-01-16
0001567619-19-001260	101	AVANATH AH III HOLDCO, INC.	/s/ Camille Longino	Camille Longino	CFO	2019-01-16
0001470592-19-000001	101	AltheaDx, Inc.	David Nikodem	David Nikodem	Acting CEO	2019-01-15
0001062993-19-000233	101	Ocean Hugger Foods, Inc.	/S/David Benzaquen	David Benzaquen	Chief Executive Officer	2019-01-16
0001062993-19-000232	101	Ocean Hugger Foods, Inc.	/s/ David Benzaquen	David Benzaquen	Chief Executive Officer	2019-01-16
0001062993-19-000231	101	Ocean Hugger Foods, Inc.	/S/David Benzaquen	David Benzaquen	Chief Executive Officer	2019-01-16
0001764877-19-000001	101	BR Gate, DST	Joshua M. Hoffman	Joshua M. Hoffman	President of the Sponsor of the Issuer	2019-01-16
0001762673-19-000002	101	AIGGRE U.S. Real Estate Fund III, LP	/s/ John L. Mallinson	John L. Mallinson	VP of the sole member of the GP of the GP of the Issuer	2019-01-16
0001564366-19-000001	101	Blue Water Partners Investment Fund, LP	John L. Norin	John L. Norin	Managing Director of Theta Advisors, LLC	2019-01-16
0001757535-19-000004	101	EquityZen Growth Technology Fund LLC - Series 302	Richard Thoms	Richard Thoms	Attorney-in-Fact of the issuer	2019-01-15
0001757535-19-000003	101	EquityZen Growth Technology Fund LLC - Series 352	Richard Thoms	Richard Thoms	Attorney-in-Fact of the issuer	2019-01-15
0001762673-19-000001	101	AIGGRE U.S. Real Estate Fund III AHNU Feeder, LLC	/s/ John L. Mallinson	John L. Mallinson	VP of the sole member of the GP of the Manager of the Issuer	2019-01-16
0001648922-19-000001	101	REBLS, INC.	/S/ Bryan Copley	Bryan Copley	President	2019-01-16
0001757535-19-000002	101	A-KSE-13-PR-Fund, a series of AX-SoGe-Funds, LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-01-16
0001683168-19-000141	101	Rivercrest Apartments Fee Owner LLC	/s/ Neil Doshi	Neil Doshi	President of the Manager	2019-01-16
0001764911-19-000001	101	NYPIT, Inc.	/s/ Jageesh Ambati	Jageesh Ambati	Chief Executive Officer	2019-01-16
0001764723-19-000002	101	Verse Communications Inc.	Evan Henshaw-Plath	Evan Henshaw-Plath	Chief Executive Officer	2019-01-16
0001683168-19-000139	101	Cherry Hill Apartments Fee Owner LLC	/s/ Neil Doshi	Neil Doshi	President of Banyan Equities, LLC, its Manager	2019-01-16
0001764487-19-000004	101	Endeavour Capital Partners, LP/TX	/s/Clayton Ayers	Clayton Ayers	Manager of General Partner	2019-01-16
0001062993-19-000230	101	Ocean Hugger Foods, Inc.	/s/ David Benzaquen	David Benzaquen	Chief Executive Officer	2019-01-16
0001062993-19-000229	101	Ocean Hugger Foods, Inc.	/s/ David Benzaquen	David Benzaquen	Chief Executive Officer	2019-01-16
0001062993-19-000228	101	Ocean Hugger Foods, Inc.	/s/ David Benzaquen	David Benzaquen	Chief Executive Officer	2019-01-16
0001763691-19-000001	101	Pirate Life, Inc.	Lacie Mackey	Lacie Mackey	CEO	2019-01-16
0001509650-19-000001	101	RIEF Strategic Partners Fund LLC	/s/ Mark Silber	Mark Silber	Executive Vice President of the Managing Member	2019-01-16
0001213900-19-000819	101	Martis Partners III, LP	/s/ Shahab Vagefi	Shahab Vagefi	Managing Member of General Partner	2019-01-16
0001696947-19-000001	101	Macquarie Infrastructure Partners IV, L.P.	/s/ David Handelsmann	David Handelsmann	Authorized Signatory of the General Partner	2019-01-16
0001757535-19-000005	101	MC GLMNOP, a series of Angel Deal Holdings, LP	Richard Thoms	Richard Thoms	Officer of the General Partner's Manager	2019-01-16
0001764362-19-000001	101	FlowCommand Inc.	/s/David Jed Somers	David Jed Somers	CEO	2019-01-16
0001765006-19-000002	101	Curzio Research, Inc.	/s/Frank Curzio	Frank Curzio	Chief Executive Officer	2019-01-16
0001764120-19-000001	101	Westleaf Inc.	/s/ Scott Hurd	Scott Hurd	President and Chief Executive Officer	2019-01-14
0001670321-19-000001	101	Quantamentals Large-Cap Fund, L.P.	Aleem Choudhry	Aleem Choudhry	Managing Member of Quantamentals Management Group, LLC	2019-01-16
0001445789-19-000001	101	CYNVENIO BIOSYSTEMS INC	/s/ Michael E. Pfau	Michael E. Pfau	Secretary	2019-01-16
0001763022-19-000002	101	Vestia Ventures MiRus Investment LLC	Thomas S. Martin	Thomas S. Martin	Manager	2019-01-16
0001763556-19-000001	101	LG Fund IV LLC	/s/ Joseph E. Teichman	Joseph E. Teichman	Executive Vice President and General Counsel of LG	2019-01-16
0001541826-19-000001	101	Northwest Feilong Fund Ltd	E Ho	Ernest Ho	CFO of Inv Mgr	2019-01-16
0001757535-19-000001	101	Fund EQ-JOE, a series of Equidate Investments LLC	Richard Thoms	Richard Thoms	Officer of the Issuer's Manager	2019-01-16
0001764735-19-000001	101	Ironwood Equity, LLC	Richie L. Webb	Richie L. Webb	Manager of JM Parkinson LLC, Manager	2019-01-16
0001764988-19-000001	101	Lake City 19, LLC	David M. Barron	David M. Barron	Attorney	2019-01-16
0001764686-19-000001	101	Pembrook Community Investors I (REIT) LLC	/s/ Robert Hellman	Robert Hellman	Chief Compliance Officer	2019-01-16
0001755137-19-000002	101	INFLCR, INC.	James A. Cavale, III	James A. Cavale, III	President & CEO	2019-01-16
0001764690-19-000002	101	International REIT Fund	Thomas W. Griffith	Thomas W. Griffith	Director of the Investment Manager of the Issuer	2019-01-16
0001567619-19-001248	101	ClinMunications, LLC	/s/ Mick W. Kowitz	Mick W. Kowitz	Manager and Chief Executive Officer	2019-01-14
0001755990-19-000001	101	RED DOT HOLDINGS III, LP	/s/ KATE MATHENY	KATE MATHENY	CFO OF THE MANAGER OF THE MANAGER OF THE GENERAL PARTNER	2019-01-16
0000902664-19-000254	101	Thirteen Partners Concentrated 3, LLC	/s/ Jonathan M Harris	Jonathan M Harris	Principal of the Managing Member	2019-01-16
0001520138-19-000008	101	Thenablers, Inc.	Panagiotis Tolis	Panagiotis Tolis	CFO/Director	2019-01-08
0001765034-19-000002	101	Little Ocmulgee Partners, LLC	James P. Sullivan	James P. Sullivan	Manager	2019-01-16
0001728250-19-000001	101	Man Numeric Multi-Strategy Market Neutral LLC	Christopher Ancona	Christopher Ancona	Chief Compliance Officer of the Manager	2019-01-16
0001764723-19-000001	101	CreatorDex, Inc.	Dan Bean	Dan Bean	Chief Operating Officer	2019-01-16
0001694699-19-000002	101	MMF Investors LLC	Bruce V. Michelson Jr	Bruce V. Michelson, Jr.	Manager	2019-01-16
0001764313-19-000002	101	CL Milwaukee, LLC	/s/ Pedro Miranda	Pedro Miranda	President of the Manager of the Issuer	2019-01-16
0001760289-19-000001	101	Square Mile Partners V REIT LLC	/s/ Daniel M. Kasell	Daniel M. Kasell	Director	2019-01-16
0001764690-19-000001	101	Emerging Markets REIT Fund	Thomas W. Griffith	Thomas W. Griffith	Director of the Investment Manager of the Issuer	2019-01-16
0001728272-19-000001	101	Man Numeric Multi-Strategy Market Neutral	Eric Fortier	Eric Fortier	Director of the Issuer	2019-01-16
0001682577-19-000001	101	Ossia Partners Fund, LLC	Robert Robotti	Robert Robotti	Managing Director of the Managing Member	2019-01-16
0001765034-19-000001	101	Muskogee Highlands Partners, LLC	James P. Sullivan	James P. Sullivan	Manager	2019-01-16
0001760291-19-000001	101	Square Mile Tactical Partners REIT LLC	/s/ Daniel M. Kassell	Daniel M. Kasell	Director	2019-01-16
0001695099-19-000002	101	Michelson Multifamily Fund LP	Bruce V. Michelson Jr.	Bruce V. Michelson, Jr.	Manager	2019-01-16
0001144204-19-001859	101	MOAB PARTNERS OFFSHORE LTD	/s/ Michael M. Rothenberg	Michael M. Rothenberg	Portfolio Manager	2019-01-16
0001144204-19-001857	101	Moab Partners LP	/s/ Michael M. Rothenberg	Michael M. Rothenberg	Portfolio Manager	2019-01-16
0001575761-19-000001	101	FACTION HOLDINGS, INC.	/s/ Luke Norris	Luke Norris	Chief Executive Officer	2019-01-16
0001764930-19-000001	101	Sword Financial Corp.	Frederick F. Schwertfeger	Frederick F. Schwertfeger	President	2019-01-16
0001764313-19-000001	101	CL Orlando, LLC	/s/ Pedro Miranda	Pedro Miranda	President of the Manager of the Issuer	2019-01-16
0001764032-19-000001	101	TPG RE Finance Trust CLO Sub-REIT	/s/ Deobrah Ginsberg	Deborah Ginsberg	Vice President and Secretary	2019-01-16
0001748316-19-000017	101	Strategic Partnership Fund NB LLC	/s/ Brad Cetron	Brad Cetron	CCO & Managing Director of NB Investment Advisers LLC, Mgr	2019-01-16
0001567619-19-001244	101	Civil Logistic Services, LLC	Andrew C. Bagby	Andrew C. Bagby	Manager	2019-01-15
0001715315-19-000001	101	Riff LLC	Paul Evers	Ashley Lathrop, by power of attorney	Manager of Riff LLC	2019-01-16
0000935836-19-000039	101	VALIANT CAPITAL PARTNERS LP	Michaela Beckman	Michaela Beckman	CCO of Valiant Capital Management, L.P., GP	2019-01-16
0001065949-19-000005	101	Satwik Mezzanine Fund II, LLC	/s/ Dinesh Gupta	Dinesh Gupta	Managing Member	2019-01-14
0001704157-19-000001	101	Anacapa Partners III LP	/s/ Jeffrey M. Stevens	Jeffrey M. Stevens	Manager and Director	2019-01-16
0001704157-19-000001	102	Anacapa Partners III (Cayman) LP	/s/ Jeffrey M. Stevens	Jeffrey M. Stevens	Manager and Director	2019-01-16
0000950138-19-000038	101	Digabit, Inc.	/s/ Steven S. Blanco	Steven S. Blanco	President	2019-01-16
0001764961-19-000001	101	TORIGEN PHARMACEUTICALS, INC.	/s/Ashley Kalinauskas	Ashley Kalinauskas	Chief Executive Officer	2019-01-16
0001765014-19-000001	101	MCM Direct, LLC	/s/ Tod A. Brown	Tod A. Brown	Officer of Manager of Issuer	2019-01-15
0001764983-19-000001	101	Black Dragon Capital L.P., Series Twelve	/s/ Daniel J. Consigli	Daniel J. Consigli	CFO of the General Partner of the Issuer	2019-01-16
0001746793-19-000001	101	Fishpond Investments, LLC	Bryan Kelley	Bryan Kelley	Executive Officer	2019-01-16
0001759080-19-000001	101	Malabar Select Fund, L.P.	Steven Leischner	Steven Leischner	Manager of General Partner	2019-01-16
0001764689-19-000001	101	McKinney Capital Hermosa Partners LLC	Damian McKinney	Damian McKinney	Manager	2019-01-16
0000913849-19-000020	101	AERO CAPITAL SOLUTIONS FUND, LP	/s/Stephen Hearne	Stephen Hearne	CFO of the Sole Member of the General Partner of the Issuer	2019-01-16
0001763896-19-000001	101	Merchant Services Income Fund, LLC	/s/ John Pauciulo	John Pauciulo	Power of Attorney	2019-01-16
0000913849-19-000019	101	AERO CAPITAL SOLUTIONS FEEDER FUND, LP	/s/Stephen Hearne	Stephen Hearne	CFO and Sole Member of the General Partner of the Issuer	2019-01-16
0001719063-19-000001	101	Trystero Fund USA, LP	Robert Broggi	Robert Broggi	Manager	2019-01-16
0000905718-19-000051	101	YS ALTNOTES II LLC	/s/ Milind Mehere	Milind Mehere	Chief Executive Officer of Yieldstreet Management, LLC	2019-01-16
0001719612-19-000001	101	Sixteenth Street Asian GEMS Fund	Rashmi Kwatra	Rashmi Kwatra	Director	2019-01-16
0001596851-19-000001	101	CENTRALIS PARTNERS LP	Cameron Addington	Cameron Addington	Managing Member of the General Partner of the Issuer	2019-01-16
0001765073-19-000001	101	CES Properties Fund IV (Rose Hill 17) LLC	William C. Wagner	William C. Wagner	Vice President of Manager	2019-01-16
0001749714-19-000001	101	AEI Net Lease Income Fund 37 LP	RONA L NEWTSON	BY AEI INCOME FUND MANAGER, INC ITS GENERAL PARTNER	RONA L NEWTSON AUTH SIGNATORY FOR ROBERT P JOHNSON PRESIDENT	2019-01-16
0001764682-19-000002	101	KHP Strategic 9 LP	/s/ Michael Bego	Michael Bego	Managing Member of the General Partner	2019-01-16
0000919574-19-000412	101	TRUE ARROW SYSTEMATIC CHINA FUND,LTD.	/s/ Alfred S. Hou	Alfred S. Hou	Director	2019-01-16
0001678070-19-000001	101	Wellthy, Inc.	/s/ Lindsay Jurist-Rosner	Lindsay Jurist-Rosner	President & Chief Executive Officer	2019-01-16
0001764909-19-000001	101	OneChart Health, LLC	David Brodegard	David Brodegard	CEO	2019-01-16
0001493129-19-000001	101	Senrigan US Feeder Fund	Gary Linford	Gary Linford	Director of the Issuer	2019-01-16
0001415889-19-000056	101	Wrap Technologies, Inc.	/s/ James A. Barnes	James A. Barnes	Chief Financial Officer	2019-01-16
